Rest Area Type	Name	Description	Location	Accessible From	X Coord	Y Coord	Responsible Authority	Facilities
Light Vehicle Rest Area	Tumblong	"HUME HIGHWAY, NR GUNDAGAI"	12km from Gundagai and 168km to Albury	Eastbound	-35.13617	148.00928	Roads and Maritime Services	"Toilets, Litter Bins,Wheelchair Accessible"
Load Checking Area	Tumblong	"HUME HIGHWAY, NR GUNDAGAI"	12km from Gundagai and 168km to Albury	Eastbound	-35.13529	148.01053	Roads and Maritime Services	Litter Bins
Load Checking Area	Gooromon Ponds	"BARTON HIGHWAY, NR CANBERRA"	20km from Canberra and  37km to near Yass	Both Directions	-35.12883	149.04734	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Bereena	"HUME HIGHWAY, NR GUNDAGAI"	10km from Gundagai and 170km to Albury	Southbound	-35.12167	148.02293	Roads and Maritime Services	Litter Bins
Load Checking Area	Big Ben Creek	"HUME HIGHWAY, NR GUNDAGAI"	6km from Gundagai and 173km to Albury	Westbound	-35.10904	148.05511	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Big Ben Creek	"HUME HIGHWAY, NR GUNDAGAI"	6km from Gundagai and 174km to Albury	Eastbound	-35.10838	148.05718	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Collingullie Truck Parking West Bound	"STURT HIGHWAY, WAGGA WAGGA"	19km from Wagga Wagga and  78km to Narrandera	Both Directions	-35.10109	147.17771	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Collingullie Truck Parking East Bound	"STURT HIGHWAY, WAGGA WAGGA"	19km from Wagga Wagga and  78km to Narrandera	Both Directions	-35.10101	147.1774	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Gearys Gap Lookout Lake George	"FEDERAL HIGHWAY, SUTTON"	57km South of Goulburn	Northbound	-35.10099	149.3746	Roads and Maritime Services	"Emergency Phone, Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Anderson VC Rest Area	"FEDERAL HIGHWAY, SUTTON"	33km North of Canberra	Both Directions	-35.10092	149.37427	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Bewong S/B	"PRINCES HIGHWAY, BEWONG"	26km South of Nowra	Both Directions	-35.08539	150.53373	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Wheatley VC Rest Area	"FEDERAL HIGHWAY, LAKE GEORGE"	53km South of Goulburn	Northbound	-35.06761	149.37379	Roads and Maritime Services	"Emergency Phone, Toilets, Shelter, Picnic Tables, BBQ Facilities, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Berry Jerry Rest Area	"STURT HIGHWAY, COLLINGULLIE"	32km from Wagga Wagga and  66km to Narrandera	Both Directions	-35.0612	147.05344	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Sandside	"NEWELL HIGHWAY, NR MORUNDAH"	58km from Jerilderie and  51km to Narrandera	Both Directions	-35.06089	146.16338	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Widgiewa Rest Area	"NEWELL HIGHWAY, NR MORUNDAH"	59km from Jerilderie and  50km to Narrandera	Both Directions	-35.05586	146.17929	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area	The Black Swamp	"COBB HIGHWAY, WANGANELLA"	60km from Deniliquin and  62km to Hay	Both Directions	-35.05359	144.77904	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	400m West of Casuarina Lane	"BARTON HIGHWAY, CANBERRA SIDE"	30km from Canberra and  27km to near Yass	Both Directions	-35.04114	149.02346	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	400m West of Casuarina Lane	"BARTON HIGHWAY, CANBERRA SIDE"	30km from Canberra and  27km to near Yass	Both Directions	-35.04056	149.02325	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Badcoe VC Rest Area	"FEDERAL HIGHWAY, LAKE GEORGE"	49km South of Goulburn	Northbound	-35.03562	149.37741	Roads and Maritime Services	"Emergency Phone, Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Four Mile Straight	"HUME HIGHWAY-STH COOLAC OFFLOAD, PETTITTS-NB"	96km from Yass and  5km to Gundagai	Both Directions	-35.0242	148.10972	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area	Four Mile Hill	HUME HIGHWAY-NTH GUNDAGAI	95km from Yass and  6km to Gundagai	Northbound	-35.01934	148.11027	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Dunnings Rd	"OLYMPIC HIGHWAY, NR WAGGA WAGGA"	17km from Wagga Wagga and  27km to Junee	Both Directions	-35.01636	147.41785	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Dunnings Rd	"OLYMPIC HIGHWAY, NR WAGGA WAGGA"	17km from Wagga Wagga and  27km to Junee	Southbound	-35.01545	147.41773	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Gurney VC Rest Area	"FEDERAL HIGHWAY, LAKE GEORGE"	44km North of Canberra	Southbound	-35.00028	149.38351	Roads and Maritime Services	"Emergency Phone, Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Truck Parking Area Madew Winery	"FEDERAL HIGHWAY, NR COLLECTOR"	45km North of Canberra	Southbound	-34.98814	149.38693	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area	Fruit Fly Bin	"STURT HIGHWAY, KYWONG"	63km from Wagga Wagga and  34km to Narrandera	Both Directions	-34.98585	146.73926	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Mingay Rest Area	"HUME HIGHWAY-STH COOLAC OFFLOAD, PETTITTS-NB"	11km from Gundagai and 90km to Yass	Both Directions	-34.98128	148.13393	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Truck Parking Area Haul Rd	"FEDERAL HIGHWAY, NR BREADALBANE"	41km South of Goulburn	Northbound	-34.9675	149.4018	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Wallacetown	"OLYMPIC HIGHWAY, NR WAGGA WAGGA"	23km from Wagga Wagga and  20km to Junee	Both Directions	-34.95984	147.44901	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	600m East of McClungs Lane	"BARTON HIGHWAY, MURRUMBATEMAN"	41km from Canberra and 17km to near Yass	Northbound	-34.95075	149.02386	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Coolac Rest Area	"HUME HIGHWAY-STH COOLAC INTERCHANGE,COOLAC-SB"	84km from Yass and 17km to Gundagai	Both Directions	-34.94032	148.17609	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Rest Area Near Sandigo-Boree Creek Rd	"STURT HIGHWAY, KYWONG"	74km from Wagga Wagga and  23km to Narrandera	Both Directions	-34.92105	146.64871	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Truck Park - Sandigo West Bound	"STURT HIGHWAY, KYWONG"	75km from Wagga Wagga and  22km to Narrandera	Both Directions	-34.9208	146.64644	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Truck Park - Sandigo East Bound	"STURT HIGHWAY, KYWONG"	75km from Wagga Wagga and  22km to Narrandera	Both Directions	-34.9208	146.64643	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Gratwick VC Rest Area	"FEDERAL HIGHWAY, NR COLLECTOR"	56km North of Canberra	Southbound	-34.91166	149.44313	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Flinders St  Rest Area Sth Nowra N/B	"Princes Highway, South Nowra"	3.5km South of Nowra	Both Directions	-34.90669	150.60269	Council	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Truck Parking Baxters Lane	"FEDERAL HIGHWAY, NR COLLECTOR"	57km North of Canberra	Westbound	-34.90293	149.45839	Roads and Maritime Services	
Light Vehicle Rest Area	Edmondson VC Rest Area Rowes Lagoon	"FEDERAL HIGHWAY, COLLECTOR"	27km South of Goulburn	Eastbound	-34.89438	149.50988	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Load Checking Area	Mungi Mungi Hill	"HUME HIGHWAY-NTH COOLAC INTERCHANGE,COOLAC-SB"	76km from Yass and  26km to Gundagai	Eastbound	-34.88868	148.21829	Roads and Maritime Services	Litter Bins
Load Checking Area	Black Springs	"HUME HIGHWAY-NTH COOLAC INTERCHANGE,COOLAC-NB"	74km from Yass and  27km to Gundagai	Westbound	-34.88182	148.23144	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Westaroo	"HUME HIGHWAY, JUGIONG"	67km from Yass and  35km to Gundagai	Eastbound	-34.84746	148.29633	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Yass Valley Way	"HUME HIGHWAY, GUNNING"	71km from Goulburn and 12km to Yass	Both Directions	-34.83729	149.01338	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Truck Stopping Area Wollogorang	"FEDERAL HIGHWAY, GOULBURN"	17km South of Goulburn	Eastbound	-34.83683	149.57982	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area	Gundagi - Grong Grong Rd	"OLD JUNEE-TEMORA RD, OLD JUNEE"	39km from Wagga Wagga and  48km to Temora	Both Directions	-34.83674	147.52095	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Reardons Road	"HUME HIGHWAY, GUNNING"	70km from Goulburn and 13km to Yass	Both Directions	-34.83503	149.02306	Roads and Maritime Services	Litter Bins
Load Checking Area	Manton Ridge	"HUME HIGHWAY, NR YASS"	74km from Goulburn and  15km to Yass	Westbound	-34.83207	148.98542	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Jugiong Hill	"HUME HIGHWAY, JUGIONG"	64km from Yass and  38km to Gundagai	Westbound	-34.82787	148.31229	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area		"OLYMPIC HIGHWAY, NR JUNEE"	15km from Junee and  38km to Cootamundra	Both Directions	-34.82585	147.71734	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area	Mundoonan Rest Area N/B	"HUME HIGHWAY, GUNNING"	62km South of Goulburn	Westbound	-34.82466	149.07523	Roads and Maritime Services	"Emergency Phone, Toilets, Shelter, Picnic Tables, BBQ Facilities, Litter Bins,Wheelchair Accessible"
Load Checking Area	Truck Area Lerida Nth S/B	"HUME HIGHWAY, GUNNING"	33km South of Goulburn	Eastbound	-34.82309	149.39775	Roads and Maritime Services	"Emergency Phone, Litter Bins"
Load Checking Area	Cullarin Truck Area N/B	"HUME HIGHWAY, GUNNING"	32km South of Goulburn	Westbound	-34.82248	149.3991	Roads and Maritime Services	"Emergency Phone, Litter Bins"
Heavy and Light Vehicle Rest Area	Kibby VC Rest Area	"FEDERAL HIGHWAY, GOULBURN"	14km South of Goulburn	Northbound	-34.81698	149.60241	Roads and Maritime Services	"Emergency Phone, Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Load Checking Area	Steam Engine Hill	"HUME HIGHWAY, JUGIONG"	52km from Yass and 50km to Gundagai	Southbound	-34.81593	148.43515	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Mundoonan Rest Area S/B	"HUME HIGHWAY, GUNNING"	62km South of Goulburn	Eastbound	-34.8159	149.10955	Roads and Maritime Services	"Emergency Phone, Toilets, Shelter, Picnic Tables, BBQ Facilities, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Illabo Rest Area	"OLYMPIC HIGHWAY, ILLABO"	17km from Junee and 36km to Cootamundra	Both Directions	-34.81573	147.73869	Council	"Toilets, Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Truck Parking Area Yarra	"FEDERAL HIGHWAY, GOULBURN"	75km North of Canberra	Southbound	-34.81539	149.60333	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area	Gillenbah Rest Area	"NEWELL HIGHWAY, MORUNDAH"	98km from Jerilderie and 10km to Narrandera	Both Directions	-34.81475	146.47918	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Load Checking Area	Truck Area Lerida Creek S/B	"HUME HIGHWAY, GUNNING"	40km South of Goulburn	Eastbound	-34.81335	149.32293	Roads and Maritime Services	"Emergency Phone, Litter Bins"
Light Vehicle Rest Area	Bookham	"HUME HIGHWAY, NR BOOKHAM"	32km from Yass and 69km to Gundagai	Both Directions	-34.8133	148.6418	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Load Checking Area	Connor's Creek	"HUME HIGHWAY, BOOKHAM"	34km from Yass and  67km to Gundagai	Westbound	-34.8104	148.62157	Roads and Maritime Services	Litter Bins
Load Checking Area	Truck Area Wollogorang S/B	"HUME HWY S/BOUND, GOULBURN"	19km South of Goulburn	Eastbound	-34.80753	149.53622	Roads and Maritime Services	"Emergency Phone, Litter Bins"
Load Checking Area	Truck Stop Wollogorang N/B	"HUME HWY N/BOUND, YASS SIDE"	20km South of Goulburn	Westbound	-34.80703	149.53853	Roads and Maritime Services	"Emergency Phone, Litter Bins"
Heavy and Light Vehicle Rest Area	Sth of Federal Hwy Intersection S/B	"HUME HWY S/BOUND, GOULBURN"	13km South of Goulburn	Eastbound	-34.80689	149.60293	Roads and Maritime Services	
Load Checking Area	Reedy Creek	"HUME HIGHWAY, JUGIONG"	48km from Yass and  53km to Gundagai	Eastbound	-34.80632	148.47291	Roads and Maritime Services	Litter Bins
Load Checking Area	Gowlands	"HUME HIGHWAY, BOOKHAM"	40km from Yass and  62km to Gundagai	Eastbound	-34.8052	148.56402	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Rest Area Wollogorang N/B	"HUME HWY S/BOUND, BREADALBANE"	23km South of Goulburn	Westbound	-34.80339	149.49446	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Derringullen Creek	"HUME HIGHWAY, NR YASS"	87km from Goulburn and 7km to Yass	Eastbound	-34.79436	148.8687	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Boorowa	"HUME HIGHWAY, NR YASS"	88km from Goulburn and 8km to Yass	Westbound	-34.78904	148.8591	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Truck Area Yarra S/B	"HUME HIGHWAY, GOULBURN"	9km South of Goulburn	Eastbound	-34.78779	149.63955	Roads and Maritime Services	"Emergency Phone, Litter Bins"
Light Vehicle Rest Area	French VC	"HUME HWY N/BOUND, GOULBURN"	9km South of Goulburn	Westbound	-34.78772	149.63984	Roads and Maritime Services	"Emergency Phone, Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Run O Waters Sth Goulburn S/B	"HUME HIGHWAY, GOULBURN"	7km South of Goulburn	Eastbound	-34.78364	149.66178	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area	McGarths (One Tree)	"HUME HIGHWAY, NR BOWNING"	10km from Yass and  91km to Gundagai	Northbound	-34.77867	148.84143	Roads and Maritime Services	Litter Bins
Load Checking Area	Conroys Gap	"HUME HIGHWAY, NR BOWNING"	22km from Yass and  80km to Gundagai	Eastbound	-34.77689	148.72532	Roads and Maritime Services	Litter Bins
Load Checking Area	Conroys Gap	"HUME HIGHWAY, NR BOWNING"	21km from Yass and  81km to Gundagai	Westbound	-34.77524	148.73393	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Berry Rest Area N/B	"PRINCES HIGHWAY, FOXGROUND"	1km North of Berry	Both Directions	-34.77119	150.7067	Council	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area	Two Mile	"HUME HIGHWAY, NR BOWNING"	18km from Yass and  83km to Gundagai	Eastbound	-34.76655	148.76321	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Goulburn Bypass S/B	"HUME HIGHWAY, GOULBURN"	8km North of Goulburn	Northbound	-34.76071	149.76666	Roads and Maritime Services	"Emergency Phone, Litter Bins"
Light Vehicle Rest Area	Narrandera Visitors Centre	"CADELL ST, NARRANDERA"	0km from Narrandera and 135km to West Wyalong	Both Directions	-34.74568	146.55029	Council	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Playground, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Mooroowoolin	"HUME HIGHWAY, MARULAN"	8km South of Marulan	Eastbound	-34.74392	149.93107	Roads and Maritime Services	
Light Vehicle Rest Area	Chowne VC	"HUME HIGHWAY, MARULAN"	15km North of Goulburn	Westbound	-34.74365	149.88686	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Parking Area Nr Goulburn Bypass N/B	"OLD HUME HIGHWAY, GOULBURN"	4km North of Goulburn	Westbound	-34.74208	149.76692	Council	
Heavy and Light Vehicle Rest Area	16 Mile Gums	"COBB HIGHWAY, BOOROORBAN"	96km from Deniliquin and  27km to Hay	Both Directions	-34.74151	144.7918	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Derrick VC	"HUME HIGHWAY, TOWRANG"	18km South of Marulan	Southbound	-34.73655	149.83012	Roads and Maritime Services	"Emergency Phone, Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Fruit Fly Pit	"NEWELL HIGHWAY, NARRANDERA"	14km from Narrandera and 122km to West Wyalong	Both Directions	-34.72628	146.69783	Roads and Maritime Services	Litter Bins
Load Checking Area	Willowvale	"STURT HIGHWAY, NR BALRANALD"	91 km from Hay and 40km to Balranald	Northbound	-34.72314	143.92719	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Migurra Reserve	"OLYMPIC HIGHWAY, BETHUNGRA"	37km from Junee and  15km to Cootamundra	Both Directions	-34.71983	147.90429	Council	"Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	BP Service Centre Marulan N/B	"N/B HUME HIGHWAY, MARULAN"	1km South of Marulan	Westbound	-34.7196	149.9964	Other	Litter Bins
Heavy and Light Vehicle Rest Area	Service Centre Marulan S/B	"S/B HUME HIGHWAY, MARULAN"	1km South of Marulan	Eastbound	-34.71709	150.00238	Other	"Toilets, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Mt Pleasant Water Tower Lookout S/B	"PRINCES HIGHWAY, KIAMA HEIGHTS"	5.5km South of Kiama	Northbound	-34.71176	150.8413	Council	"Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Yanco Creek Rest Area	"STURT HIGHWAY, NR NARRANDERA"	16km from Narrandera and 158km to Hay	Both Directions	-34.70804	146.41612	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Yanco Creek Rest Area	"STURT HIGHWAY, NR NARRANDERA"	16km from Narrandera and 158km to Hay	Both Directions	-34.708	146.41595	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area		"BURLEY GRIFFIN WAY, NR BINALONG"	31km from Yass and  35km to Harden	Both Directions	-34.70305	148.65447	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Rotary Park	"OLYMPIC HIGHWAY, NR COOTAMUNDRA"	41km from Junee and 11km to Cootamundra	Both Directions	-34.7025	147.94161	Other	"Toilets, Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Kiama Bends Information Bay N/B	"PRINCES HIGHWAY, KIAMA HEIGHTS"	4km South of Kiama	Southbound	-34.70236	150.83557	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Yanga Creek Rest Area	"STURT HIGHWAY, BALRANALD"	124km from Hay and  8km to Balranald	Both Directions	-34.6996	143.5906	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
